Indicator,Groups,State,Subgroup,Phase,TimePeriod,TimePeriodLabel,TimePeriodStartDate,TimePeriodEndDate,Value,LowCI,HighCI,ConfidenceInterval,QuartileRange
Symptoms of Depressive Disorder,By State,Maine,Maine,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,19.5,16,23.5,19.75,18.6
Symptoms of Depressive Disorder,By State,Maryland,Maryland,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,20.9,17.9,24.1,21.0,21.450000000000003
Symptoms of Depressive Disorder,By State,Massachusetts,Massachusetts,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,25.9,22.7,29.4,26.049999999999997,26.4
Symptoms of Depressive Disorder,By State,Michigan,Michigan,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,25.5,22,29.4,25.7,26.4
Symptoms of Depressive Disorder,By State,Minnesota,Minnesota,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,20.4,17.7,23.4,20.549999999999997,18.6
Symptoms of Depressive Disorder,By State,Mississippi,Mississippi,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22.9,18.7,27.6,23.15,23.1
Symptoms of Depressive Disorder,By State,Missouri,Missouri,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,21,17.9,24.5,21.2,21.450000000000003
Symptoms of Depressive Disorder,By State,Montana,Montana,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,18.2,14.9,21.8,18.35,18.6
Symptoms of Depressive Disorder,By State,Nebraska,Nebraska,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,19.1,15.3,23.3,19.3,18.6
Symptoms of Depressive Disorder,By State,Nevada,Nevada,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,23.6,19.1,28.7,23.9,23.1
Symptoms of Depressive Disorder,By State,New Hampshire,New Hampshire,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,19.5,16.5,22.7,19.6,18.6
Symptoms of Depressive Disorder,By State,New Jersey,New Jersey,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,23.6,20.4,27,23.7,23.1
Symptoms of Depressive Disorder,By State,New Mexico,New Mexico,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22.4,18.3,26.9,22.6,23.1
Symptoms of Depressive Disorder,By State,New York,New York,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,28.7,24.6,33.1,28.85,26.4
Symptoms of Depressive Disorder,By State,North Carolina,North Carolina,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,21.1,17.1,25.6,21.35,21.450000000000003
Symptoms of Depressive Disorder,By State,North Dakota,North Dakota,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,17,13.7,20.7,17.2,18.6
Symptoms of Depressive Disorder,By State,Ohio,Ohio,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,21.2,18.2,24.5,21.35,21.450000000000003
Symptoms of Depressive Disorder,By State,Oklahoma,Oklahoma,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,20.8,16.4,25.7,21.049999999999997,21.450000000000003
Symptoms of Depressive Disorder,By State,Oregon,Oregon,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22.5,19.7,25.4,22.549999999999997,23.1
Symptoms of Depressive Disorder,By State,Pennsylvania,Pennsylvania,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,24.7,21.6,28.1,24.85,26.4
Symptoms of Depressive Disorder,By State,Rhode Island,Rhode Island,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,24.5,19.9,29.7,24.799999999999997,26.4
Symptoms of Depressive Disorder,By State,South Carolina,South Carolina,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,21.6,17.9,25.7,21.799999999999997,21.450000000000003
Symptoms of Depressive Disorder,By State,South Dakota,South Dakota,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,17.5,13,22.7,17.85,18.6
Symptoms of Depressive Disorder,By State,Tennessee,Tennessee,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22.2,17.2,27.8,22.5,23.1
Symptoms of Depressive Disorder,By State,Texas,Texas,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,24.4,21.1,27.9,24.5,26.4
Symptoms of Depressive Disorder,By State,Utah,Utah,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22.9,20,26,23.0,23.1
Symptoms of Depressive Disorder,By State,Vermont,Vermont,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,20.7,15.9,26.3,21.1,18.6
Symptoms of Depressive Disorder,By State,Virginia,Virginia,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,21.5,18,25.3,21.65,21.450000000000003
Symptoms of Depressive Disorder,By State,Washington,Washington,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22.1,19.7,24.7,22.2,21.450000000000003
Symptoms of Depressive Disorder,By State,West Virginia,West Virginia,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,23.4,19.5,27.6,23.55,23.1
Symptoms of Depressive Disorder,By State,Wisconsin,Wisconsin,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22,19.2,25,22.1,21.450000000000003
Symptoms of Depressive Disorder,By State,Wyoming,Wyoming,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,18.9,15.3,22.9,19.1,18.6
Symptoms of Anxiety Disorder,National Estimate,United States,United States,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,30.8,30,31.7,30.85,27.85
Symptoms of Anxiety Disorder,By Age,United States,18 - 29 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,40.2,38.1,42.4,40.25,27.85
Symptoms of Anxiety Disorder,By Age,United States,30 - 39 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,34.4,32.6,36.1,34.35,27.85
Symptoms of Anxiety Disorder,By Age,United States,40 - 49 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,34.1,32.1,36.2,34.150000000000006,27.85
Symptoms of Anxiety Disorder,By Age,United States,50 - 59 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31,29,33.1,31.05,27.85
Symptoms of Anxiety Disorder,By Age,United States,60 - 69 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,24.9,23.6,26.3,24.950000000000003,27.85
Symptoms of Anxiety Disorder,By Age,United States,70 - 79 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,16.4,14.8,18.1,16.450000000000003,27.85
Symptoms of Anxiety Disorder,By Age,United States,80 years and above,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,14.6,11.5,18.2,14.85,27.85
Symptoms of Anxiety Disorder,By Sex,United States,Male,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,26.1,24.7,27.5,26.1,27.85
Symptoms of Anxiety Disorder,By Sex,United States,Female,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,35.4,34.5,36.3,35.4,27.85
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,Hispanic or Latino,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,36.3,33.4,39.2,36.3,27.85
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,29,28.2,29.9,29.049999999999997,27.85
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,32.8,30.3,35.5,32.9,27.85
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,26.3,23.6,29.1,26.35,27.85
Symptoms of Anxiety Disorder,By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,38.2,34.3,42.3,38.3,27.85
Symptoms of Anxiety Disorder,By Education,United States,Less than a high school diploma,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,37.3,32.4,42.4,37.4,27.85
Symptoms of Anxiety Disorder,By Education,United States,High school diploma or GED,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,30.6,29,32.3,30.65,27.85
Symptoms of Anxiety Disorder,By Education,United States,Some college/Associate's degree,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,33.5,32,35.1,33.55,27.85
Symptoms of Anxiety Disorder,By Education,United States,Bachelor's degree or higher,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,27,26.3,27.8,27.05,27.85
Symptoms of Anxiety Disorder,By State,Alabama,Alabama,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,25.6,20.7,30.9,25.799999999999997,24.75
Symptoms of Anxiety Disorder,By State,Alaska,Alaska,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,27.7,24.8,30.7,27.75,24.75
Symptoms of Anxiety Disorder,By State,Arizona,Arizona,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,32.3,28,36.8,32.4,34.35
Symptoms of Anxiety Disorder,By State,Arkansas,Arkansas,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,33.7,28.2,39.6,33.9,34.35
Symptoms of Anxiety Disorder,By State,California,California,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,30.8,28.2,33.5,30.85,31.0
Symptoms of Anxiety Disorder,By State,Colorado,Colorado,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,32.6,29.2,36.2,32.7,34.35
Symptoms of Anxiety Disorder,By State,Connecticut,Connecticut,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,34.9,30,40,35.0,34.35
Symptoms of Anxiety Disorder,By State,Delaware,Delaware,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,29.9,25.5,34.6,30.05,29.1
Symptoms of Anxiety Disorder,By State,District of Columbia,District of Columbia,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31.4,27.9,35.1,31.5,31.0
Symptoms of Anxiety Disorder,By State,Florida,Florida,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,32.6,29.7,35.6,32.65,34.35
Symptoms of Anxiety Disorder,By State,Georgia,Georgia,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31.9,28.1,35.9,32.0,34.35
Symptoms of Anxiety Disorder,By State,Hawaii,Hawaii,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,32.3,27.1,37.8,32.45,34.35
Symptoms of Anxiety Disorder,By State,Idaho,Idaho,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,26.9,23.7,30.2,26.95,24.75
Symptoms of Anxiety Disorder,By State,Illinois,Illinois,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31.1,27,35.4,31.2,31.0
Symptoms of Anxiety Disorder,By State,Indiana,Indiana,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31.8,27.5,36.4,31.95,34.35
Symptoms of Anxiety Disorder,By State,Iowa,Iowa,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22.5,19,26.2,22.6,24.75
Symptoms of Anxiety Disorder,By State,Kansas,Kansas,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,26.4,22,31.2,26.6,24.75
Symptoms of Anxiety Disorder,By State,Kentucky,Kentucky,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31.6,28.1,35.3,31.7,31.0
Symptoms of Anxiety Disorder,By State,Louisiana,Louisiana,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,34.4,29.7,39.3,34.5,34.35
Symptoms of Anxiety Disorder,By State,Maine,Maine,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,29.5,25.9,33.3,29.599999999999998,29.1
Symptoms of Anxiety Disorder,By State,Maryland,Maryland,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,27.7,24.6,31.1,27.85,24.75
Symptoms of Anxiety Disorder,By State,Massachusetts,Massachusetts,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,37,33.3,40.7,37.0,34.35
Symptoms of Anxiety Disorder,By State,Michigan,Michigan,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,32.5,28.6,36.7,32.650000000000006,34.35
Symptoms of Anxiety Disorder,By State,Minnesota,Minnesota,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,28.5,25.2,32,28.6,29.1
Symptoms of Anxiety Disorder,By State,Mississippi,Mississippi,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,30.3,24.7,36.3,30.5,29.1
Symptoms of Anxiety Disorder,By State,Missouri,Missouri,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,30.4,25.8,35.4,30.6,31.0
Symptoms of Anxiety Disorder,By State,Montana,Montana,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22.8,19.6,26.3,22.950000000000003,24.75
Symptoms of Anxiety Disorder,By State,Nebraska,Nebraska,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,24.2,20.6,28,24.3,24.75
Symptoms of Anxiety Disorder,By State,Nevada,Nevada,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31.4,27.3,35.7,31.5,31.0
Symptoms of Anxiety Disorder,By State,New Hampshire,New Hampshire,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31.3,27.1,35.7,31.400000000000002,31.0
Symptoms of Anxiety Disorder,By State,New Jersey,New Jersey,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31.4,28.2,34.7,31.450000000000003,31.0
Symptoms of Anxiety Disorder,By State,New Mexico,New Mexico,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,27.9,23.9,32.2,28.05,29.1
Symptoms of Anxiety Disorder,By State,New York,New York,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,36.1,32.1,40.2,36.150000000000006,34.35
Symptoms of Anxiety Disorder,By State,North Carolina,North Carolina,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,30,25.1,35.3,30.2,29.1
Symptoms of Anxiety Disorder,By State,North Dakota,North Dakota,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,21.7,18.3,25.5,21.9,24.75
Symptoms of Anxiety Disorder,By State,Ohio,Ohio,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31.1,27.4,35.1,31.25,31.0
Symptoms of Anxiety Disorder,By State,Oklahoma,Oklahoma,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,28.6,24.9,32.4,28.65,29.1
Symptoms of Anxiety Disorder,By State,Oregon,Oregon,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31.5,28,35.1,31.55,31.0
Symptoms of Anxiety Disorder,By State,Pennsylvania,Pennsylvania,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31,27.5,34.7,31.1,31.0
Symptoms of Anxiety Disorder,By State,Rhode Island,Rhode Island,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,27.6,23.4,32,27.7,24.75
Symptoms of Anxiety Disorder,By State,South Carolina,South Carolina,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,27.8,24,31.7,27.85,24.75
Symptoms of Anxiety Disorder,By State,South Dakota,South Dakota,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,22.1,17.3,27.6,22.450000000000003,24.75
Symptoms of Anxiety Disorder,By State,Tennessee,Tennessee,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,28.2,22.8,34,28.4,29.1
Symptoms of Anxiety Disorder,By State,Texas,Texas,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,29.7,25.9,33.7,29.8,29.1
Symptoms of Anxiety Disorder,By State,Utah,Utah,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,28.9,24.9,33.1,29.0,29.1
Symptoms of Anxiety Disorder,By State,Vermont,Vermont,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,30.6,25.6,35.8,30.7,31.0
Symptoms of Anxiety Disorder,By State,Virginia,Virginia,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,28.5,25.4,31.8,28.6,29.1
Symptoms of Anxiety Disorder,By State,Washington,Washington,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,30.6,27.7,33.7,30.700000000000003,31.0
Symptoms of Anxiety Disorder,By State,West Virginia,West Virginia,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,28.8,24,33.9,28.95,29.1
Symptoms of Anxiety Disorder,By State,Wisconsin,Wisconsin,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,27.1,24.1,30.2,27.15,24.75
Symptoms of Anxiety Disorder,By State,Wyoming,Wyoming,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,24.9,21,29.2,25.1,24.75
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,United States,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,35.9,35,36.8,35.9,27.85
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,18 - 29 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,46.8,44.3,49.3,46.8,27.85
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,30 - 39 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,39.6,37.7,41.5,39.6,27.85
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,40 - 49 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,38.9,37.2,40.7,38.95,27.85
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,50 - 59 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,35.8,34,37.7,35.85,27.85
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,60 - 69 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,28.9,27.6,30.3,28.950000000000003,27.85
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,70 - 79 years,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,21.5,19.3,23.7,21.5,27.85
Symptoms of Anxiety Disorder or Depressive Disorder,By Age,United States,80 years and above,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,21.1,15.6,27.5,21.55,27.85
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,United States,Male,1,1,Apr 23 - May 5,2020-04-23T00:00:00,2020-05-05T00:00:00,31,29.6,32.3,30.95,27.85
