weekending,providername,providercity,residentstotaladmissionscovid-19,residentstotalconfirmedcovid-19,residentstotalsuspectedcovid-19,residentsweeklyalldeaths,residentstotalalldeaths,residentstotalcovid-19deaths,numberofallbeds,totalnumberofoccupiedbeds,staffweeklyconfirmedcovid-19,stafftotalconfirmedcovid-19,staffweeklysuspectedcovid-19,stafftotalsuspectedcovid-19,stafftotalcovid-19deaths,shortageofnursingstaff,shortageofclinicalstaff,shortageofaides,shortageofotherstaff,anycurrentsupplyofn95masks,one-weeksupplyofn95masks,anycurrentsupplyofsurgicalmasks,one-weeksupplyofsurgicalmasks,anycurrentsupplyofeyeprotection,one-weeksupplyofeyeprotection,one-weeksupplyofgowns,anycurrentsupplyofhandsanitizer,threeormoreconfirmedcovid-19casesthisweekorinitialconfirmedcovid-19casethisweek,abletotestorobtainresourcestotestallcurrentresidentswithinnext7days,abletotestorobtainresourcestotestallstaffand/orpersonnelwithinnext7days
2020-11-15T00:00:00,APPLE REHAB SAYBROOK,OLD SAYBROOK,1,66,46,0,25,17,120,58,0,35,0,21,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-10-11T00:00:00,APPLE REHAB GUILFORD,GUILFORD,4,23,10,0,21,7,90,62,0,11,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-07-12T00:00:00,GLEN HILL CENTER,DANBURY,2,35,3,0,16,8,100,74,0,12,0,4,0,N,N,N,N,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y
2021-03-14T00:00:00,CASSENA CARE AT STAMFORD,STAMFORD,145,86,92,0,39,30,156,128,0,49,0,25,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-11-15T00:00:00,MIDDLESEX HEALTH CARE CENTER,MIDDLETOWN,22,23,7,0,19,4,150,106,0,19,0,10,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-03T00:00:00,REGALCARE AT TORRINGTON,TORRINGTON,2,21,52,0,25,13,75,65,0,28,0,36,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-12-27T00:00:00,BLOOMFIELD HEALTH CARE CENTER,BLOOMFIELD,27,53,102,2,34,13,120,102,2,23,0,17,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-10-25T00:00:00,WOLCOTT HALL NURSING CTR,TORRINGTON,1,6,3,0,7,0,60,38,0,1,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-02-14T00:00:00,NORWICH SUB-ACUTE AND NURSING,NORWICH,1,22,1,1,29,5,120,83,0,32,0,2,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-31T00:00:00,"VILLA AT STAMFORD, THE",STAMFORD,16,31,0,0,18,9,128,117,2,14,0,3,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-12-27T00:00:00,ST MARY HOME,WEST HARTFORD,9,136,9,2,60,15,256,130,3,69,0,3,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-09-20T00:00:00,MASONICARE HEALTH CENTER,WALLINGFORD,17,8,1,5,80,3,357,299,0,11,1,12,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-06-21T00:00:00,GLEN HILL CENTER,DANBURY,2,35,3,0,16,8,100,63,0,12,0,3,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y
2020-05-24T00:00:00,"FILOSA, FOR NURSING & REHABILITATION",DANBURY,0,2,0,0,0,0,64,54,7,7,1,1,0,N,N,N,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y
2020-08-30T00:00:00,HEBREW CENTER FOR HEALTH AND REHABILITATION,WEST HARTFORD,2,42,18,0,42,14,257,198,0,24,0,39,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-17T00:00:00,MASONICARE HEALTH CENTER,WALLINGFORD,25,131,64,7,175,41,357,266,18,105,0,80,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2020-08-23T00:00:00,ST MARY HOME,WEST HARTFORD,7,97,9,0,34,10,256,163,0,41,0,3,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-05-24T00:00:00,CASSENA CARE AT NORWALK,NORWALK,30,70,54,37,37,29,150,131,29,29,10,10,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-05-24T00:00:00,ST MARY HOME,WEST HARTFORD,5,47,5,7,7,5,256,159,13,13,3,3,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-03-14T00:00:00,APPLE REHAB FARMINGTON VALLEY,PLAINVILLE,2,50,60,2,59,19,130,88,0,34,0,10,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-12-27T00:00:00,"VILLA AT STAMFORD, THE",STAMFORD,15,30,0,1,17,9,128,104,0,12,0,3,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-07-26T00:00:00,MERIDIAN MANOR,WATERBURY,1,0,4,0,1,0,60,37,0,1,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-08-16T00:00:00,CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR,MANCHESTER,18,36,87,0,32,12,120,80,2,46,0,28,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-03-14T00:00:00,"HEWITT HEALTH & REHABILITATION CENTER, INC",SHELTON,6,38,20,0,45,15,120,81,0,21,0,2,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-02-21T00:00:00,WOLCOTT HALL NURSING CTR,TORRINGTON,1,18,3,0,11,0,60,40,0,23,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-31T00:00:00,GREENTREE MANOR NURSING & REHA,WATERFORD,52,35,0,3,35,19,90,69,0,21,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-08-30T00:00:00,"VILLA AT STAMFORD, THE",STAMFORD,12,28,0,0,14,9,128,103,0,8,0,1,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-10-04T00:00:00,"WINDSOR HEALTH AND REHABILITATION CENTER, LLC",WINDSOR,7,1,1,0,30,0,108,74,0,13,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-06-07T00:00:00,CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR,MANCHESTER,12,30,87,0,24,8,120,80,0,22,2,20,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2020-08-30T00:00:00,GLEN HILL CENTER,DANBURY,2,35,3,1,19,8,100,77,0,12,0,6,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y
2020-08-30T00:00:00,APPLE REHAB FARMINGTON VALLEY,PLAINVILLE,1,46,56,1,32,17,130,84,0,23,0,10,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-11-15T00:00:00,CHESTERFIELDS HEALTH CARE CENTER,CHESTER,0,2,10,1,11,2,60,40,0,1,0,2,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-08-16T00:00:00,AVERY NURSING HOME,HARTFORD,15,36,1,0,17,11,199,157,1,52,0,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-02-07T00:00:00,REGALCARE AT GREENWICH,GREENWICH,13,67,0,0,34,18,75,50,0,37,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-02-28T00:00:00,"WITHERELL, NATHANIEL",GREENWICH,185,50,24,0,30,21,202,166,1,37,0,3,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-02-14T00:00:00,MIDDLESEX HEALTH CARE CENTER,MIDDLETOWN,63,23,7,0,27,9,150,116,0,24,0,10,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-09-27T00:00:00,NORWICH SUB-ACUTE AND NURSING,NORWICH,0,2,0,0,14,0,120,101,0,2,0,1,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-17T00:00:00,APPLE REHAB GUILFORD,GUILFORD,4,61,10,0,30,17,90,63,0,30,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-07-19T00:00:00,"WINDSOR HEALTH AND REHABILITATION CENTER, LLC",WINDSOR,7,1,1,1,27,0,108,69,0,13,0,0,0,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-11-29T00:00:00,HUGHES HEALTH AND REHABILITATION,WEST HARTFORD,10,69,37,1,16,5,92,93,2,5,0,1,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2020-08-09T00:00:00,GREENTREE MANOR NURSING & REHA,WATERFORD,0,0,0,0,7,0,90,71,0,2,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-11-15T00:00:00,"CAROLTON CHRONIC & CONV HOSP,",FAIRFIELD,9,41,8,1,22,17,160,94,0,50,0,14,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-17T00:00:00,ST JOSEPH'S CENTER,TRUMBULL,41,132,14,1,99,44,269,189,1,108,0,4,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-11-01T00:00:00,MIDDLESEX HEALTH CARE CENTER,MIDDLETOWN,14,23,7,1,19,4,150,99,0,19,0,10,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-10-18T00:00:00,MIDDLESEX HEALTH CARE CENTER,MIDDLETOWN,11,23,7,0,18,4,150,111,0,18,0,10,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-03T00:00:00,"FILOSA, FOR NURSING & REHABILITATION",DANBURY,0,6,0,0,5,0,64,50,1,18,0,2,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-02-28T00:00:00,MIDDLESEX HEALTH CARE CENTER,MIDDLETOWN,64,23,7,0,27,9,150,116,0,24,0,10,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-10-25T00:00:00,HUGHES HEALTH AND REHABILITATION,WEST HARTFORD,10,57,23,0,13,4,92,91,2,2,0,1,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-07-05T00:00:00,BLOOMFIELD HEALTH CARE CENTER,BLOOMFIELD,26,52,92,0,26,13,120,100,1,21,0,17,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-03T00:00:00,HEBREW CENTER FOR HEALTH AND REHABILITATION,WEST HARTFORD,2,134,31,0,83,28,257,182,4,62,0,50,0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y
2020-11-29T00:00:00,HEBREW CENTER FOR HEALTH AND REHABILITATION,WEST HARTFORD,2,117,31,8,76,28,257,160,0,47,0,50,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2020-11-15T00:00:00,APPLE REHAB FARMINGTON VALLEY,PLAINVILLE,1,49,59,1,43,18,130,88,0,25,0,10,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-09-06T00:00:00,CHESTERFIELDS HEALTH CARE CENTER,CHESTER,0,0,1,0,7,2,60,41,0,0,0,1,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-07-12T00:00:00,"WITHERELL, NATHANIEL",GREENWICH,50,30,12,1,16,16,202,158,0,6,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-03-14T00:00:00,MILFORD HEALTH CARE CENTER INC,MILFORD,27,112,2,0,42,27,120,99,0,49,0,12,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-03T00:00:00,MONTOWESE HEALTH & REHABILITATION CENTER,NORTH HAVEN,185,37,19,0,42,30,190,118,4,37,0,5,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-12-13T00:00:00,WESTVIEW NURSING CARE & REHAB,DAYVILLE,1,51,36,1,25,5,103,81,3,15,0,48,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2020-10-11T00:00:00,SKYVIEW REHAB AND NURSING,WALLINGFORD,59,66,87,0,13,12,97,79,0,11,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-07-12T00:00:00,APPLE REHAB SAYBROOK,OLD SAYBROOK,1,65,46,0,19,17,120,58,0,30,0,21,0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-11-15T00:00:00,CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR,MANCHESTER,18,40,87,0,37,12,120,85,0,47,0,28,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-09-27T00:00:00,REGALCARE AT GREENWICH,GREENWICH,11,12,0,1,29,14,75,63,0,7,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-31T00:00:00,GLEN HILL CENTER,DANBURY,2,38,3,1,34,8,100,82,0,27,0,8,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-06-07T00:00:00,MASONICARE HEALTH CENTER,WALLINGFORD,5,8,1,3,27,3,357,308,0,5,0,3,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-02-28T00:00:00,CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR,MANCHESTER,117,64,87,0,52,21,120,88,0,73,0,28,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-11-08T00:00:00,"VILLA MARIA NURSING & REHAB COMMUNITY, INC",PLAINFIELD,1,0,1,0,1,0,62,50,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-07-12T00:00:00,WOLCOTT HALL NURSING CTR,TORRINGTON,1,5,3,0,4,0,60,36,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-12-27T00:00:00,"HEWITT HEALTH & REHABILITATION CENTER, INC",SHELTON,6,38,20,1,38,15,120,79,1,18,0,2,0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-08-23T00:00:00,"WINDSOR HEALTH AND REHABILITATION CENTER, LLC",WINDSOR,7,1,1,0,29,0,108,75,0,13,0,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-07-05T00:00:00,MILFORD HEALTH CARE CENTER INC,MILFORD,27,88,2,0,29,26,120,99,0,20,0,12,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-08-30T00:00:00,MONTOWESE HEALTH & REHABILITATION CENTER,NORTH HAVEN,55,36,16,1,28,21,120,89,0,10,0,3,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-02-21T00:00:00,ST JOSEPH'S CENTER,TRUMBULL,50,133,14,0,105,44,269,184,1,116,0,4,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-02-14T00:00:00,MASONICARE HEALTH CENTER,WALLINGFORD,25,170,64,1,186,49,357,253,1,114,0,80,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-03-07T00:00:00,ST JOSEPH'S CENTER,TRUMBULL,50,133,14,3,111,44,269,179,0,117,0,4,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-11-01T00:00:00,APPLE REHAB MIDDLETOWN,MIDDLETOWN,2,18,0,0,4,0,70,45,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-10-11T00:00:00,NEW LONDON SUB-ACUTE AND NURSING,WATERFORD,0,79,1,0,19,14,120,80,1,25,0,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-07-26T00:00:00,REGALCARE AT GREENWICH,GREENWICH,11,12,0,1,28,14,75,65,0,7,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-10-04T00:00:00,ST JOSEPH'S CENTER,TRUMBULL,14,126,12,2,76,42,269,174,0,73,0,4,0,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,Y
2020-11-01T00:00:00,CASSENA CARE AT STAMFORD,STAMFORD,59,71,92,0,38,29,156,114,0,33,0,25,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-08-09T00:00:00,SALMON BROOK REHAB AND NURSING,GLASTONBURY,21,48,11,0,33,20,126,95,0,28,0,12,1,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-10-04T00:00:00,"VILLA AT STAMFORD, THE",STAMFORD,12,28,0,0,15,9,128,109,0,8,0,1,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-12-20T00:00:00,"WINDSOR HEALTH AND REHABILITATION CENTER, LLC",WINDSOR,7,2,1,0,32,0,108,81,0,17,0,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-06-14T00:00:00,APPLE REHAB GUILFORD,GUILFORD,4,23,10,0,15,7,90,60,0,11,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-09-13T00:00:00,MILFORD HEALTH CARE CENTER INC,MILFORD,27,89,2,0,31,26,120,102,0,20,0,12,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-12-06T00:00:00,REGALCARE AT TORRINGTON,TORRINGTON,2,21,52,0,25,13,75,59,1,26,0,36,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N
2021-02-14T00:00:00,SKYVIEW REHAB AND NURSING,WALLINGFORD,59,66,87,0,16,12,97,90,0,27,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-24T00:00:00,"GROVE MANOR NURSING HOME, INC",WATERBURY,7,44,2,0,3,1,60,44,0,17,0,6,0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-12-06T00:00:00,WESTVIEW NURSING CARE & REHAB,DAYVILLE,0,41,36,3,24,5,103,81,2,12,0,48,0,N,Y,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y
2020-07-19T00:00:00,"WITHERELL, NATHANIEL",GREENWICH,57,30,12,0,16,16,202,159,0,6,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-11-15T00:00:00,MILFORD HEALTH CARE CENTER INC,MILFORD,27,90,2,1,36,26,120,97,3,26,0,12,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-10-18T00:00:00,SALMON BROOK REHAB AND NURSING,GLASTONBURY,21,48,14,0,37,20,126,94,0,28,0,13,1,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-12-06T00:00:00,CASSENA CARE AT NORWALK,NORWALK,43,73,67,0,40,29,150,114,2,33,0,15,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-11-08T00:00:00,MERIDIAN MANOR,WATERBURY,1,0,7,0,4,0,60,27,0,2,0,4,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-06-21T00:00:00,MERIDIAN MANOR,WATERBURY,0,0,3,0,1,0,60,39,0,1,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y
2020-11-15T00:00:00,NEW LONDON SUB-ACUTE AND NURSING,WATERFORD,0,82,1,0,19,14,120,85,0,25,0,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-03-14T00:00:00,CHESTERFIELDS HEALTH CARE CENTER,CHESTER,1,13,10,0,12,2,60,41,0,10,0,2,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-09-13T00:00:00,APPLE REHAB GUILFORD,GUILFORD,4,23,10,1,21,7,90,59,0,11,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-10-18T00:00:00,MASONICARE HEALTH CENTER,WALLINGFORD,17,8,3,5,96,3,357,308,1,12,0,12,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-07-12T00:00:00,ST JOSEPH'S CENTER,TRUMBULL,12,125,11,0,65,42,269,168,0,67,0,4,0,N,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y
2021-02-28T00:00:00,NEW LONDON SUB-ACUTE AND NURSING,WATERFORD,0,83,1,0,23,14,120,90,0,26,0,0,1,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-09-13T00:00:00,SALMON BROOK REHAB AND NURSING,GLASTONBURY,21,48,11,0,35,20,126,90,0,28,0,12,1,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-08-02T00:00:00,WOLCOTT HALL NURSING CTR,TORRINGTON,1,5,3,0,4,0,60,38,0,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-12-13T00:00:00,APPLE REHAB SAYBROOK,OLD SAYBROOK,2,68,46,0,25,17,120,56,0,36,0,21,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-08-02T00:00:00,CHESTERFIELDS HEALTH CARE CENTER,CHESTER,0,0,1,0,5,2,60,45,0,0,0,1,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-11-29T00:00:00,BLOOMFIELD HEALTH CARE CENTER,BLOOMFIELD,26,53,102,0,31,13,120,95,0,21,0,17,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-02-07T00:00:00,ST MARY HOME,WEST HARTFORD,40,147,9,1,64,17,256,134,0,73,0,3,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-03-14T00:00:00,NORWICH SUB-ACUTE AND NURSING,NORWICH,1,24,1,0,32,5,120,78,0,34,0,2,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-24T00:00:00,ST MARY HOME,WEST HARTFORD,28,142,9,0,62,16,256,132,1,72,0,3,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-06-14T00:00:00,APPLE REHAB SAYBROOK,OLD SAYBROOK,0,63,40,2,16,15,120,60,1,24,0,19,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
2020-11-15T00:00:00,NORWICH SUB-ACUTE AND NURSING,NORWICH,0,2,1,0,20,0,120,88,0,3,0,2,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2020-07-19T00:00:00,MIDDLESEX HEALTH CARE CENTER,MIDDLETOWN,11,23,7,0,15,4,150,121,0,17,0,10,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y
2021-01-31T00:00:00,WESTVIEW NURSING CARE & REHAB,DAYVILLE,10,82,36,5,48,15,103,80,2,32,0,48,0,N,N,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y
2020-06-07T00:00:00,REGALCARE AT TORRINGTON,TORRINGTON,0,17,52,0,19,13,75,61,0,22,4,33,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
